age,Sr87_86Sr,CI_plus,CI_minus
8.35,0.708926,0.708930,0.708921
8.40,0.708925,0.708929,0.708920
8.45,0.708924,0.708928,0.708919
8.50,0.708923,0.708927,0.708919
8.55,0.708922,0.708927,0.708918
8.60,0.708921,0.708926,0.708917
8.65,0.708920,0.708925,0.708916
8.70,0.708920,0.708924,0.708915
8.75,0.708919,0.708923,0.708914
8.80,0.708918,0.708922,0.708913
8.85,0.708917,0.708921,0.708912
8.90,0.708916,0.708921,0.708911
8.95,0.708915,0.708920,0.708910
9.00,0.708914,0.708919,0.708909
9.05,0.708913,0.708917,0.708908
9.10,0.708911,0.708916,0.708907
9.15,0.708910,0.708915,0.708905
9.20,0.708909,0.708914,0.708904
9.25,0.708908,0.708912,0.708903
9.30,0.708906,0.708911,0.708902
9.35,0.708905,0.708909,0.708900
9.40,0.708903,0.708908,0.708899
9.45,0.708902,0.708906,0.708897
9.50,0.708900,0.708905,0.708896
9.55,0.708899,0.708903,0.708894
9.60,0.708897,0.708901,0.708893
9.65,0.708896,0.708900,0.708891
9.70,0.708894,0.708898,0.708890
9.75,0.708892,0.708897,0.708888
9.80,0.708891,0.708895,0.708887
9.85,0.708889,0.708894,0.708885
9.90,0.708888,0.708892,0.708883
9.95,0.708886,0.708890,0.708882
10.00,0.708885,0.708889,0.708880
10.05,0.708883,0.708887,0.708879
10.10,0.708882,0.708886,0.708877
10.15,0.708880,0.708885,0.708876
10.20,0.708879,0.708883,0.708874
10.25,0.708877,0.708882,0.708873
10.30,0.708876,0.708880,0.708871
10.35,0.708875,0.708879,0.708870
10.40,0.708873,0.708878,0.708869
10.45,0.708872,0.708876,0.708868
10.50,0.708871,0.708875,0.708866
10.55,0.708869,0.708874,0.708865
10.60,0.708868,0.708872,0.708864
10.65,0.708867,0.708871,0.708862
10.70,0.708865,0.708870,0.708861
10.75,0.708864,0.708868,0.708860
10.80,0.708863,0.708867,0.708859
10.85,0.708862,0.708866,0.708857
10.90,0.708860,0.708865,0.708856
10.95,0.708859,0.708863,0.708855
11.00,0.708858,0.708862,0.708854
11.05,0.708857,0.708861,0.708852
11.10,0.708855,0.708860,0.708851
11.15,0.708854,0.708859,0.708850
11.20,0.708853,0.708857,0.708849
11.25,0.708852,0.708856,0.708848
11.30,0.708851,0.708855,0.708847
11.35,0.708850,0.708854,0.708846
11.40,0.708849,0.708853,0.708845
11.45,0.708848,0.708852,0.708844
11.50,0.708847,0.708851,0.708842
11.55,0.708846,0.708850,0.708841
11.60,0.708844,0.708849,0.708840
11.65,0.708843,0.708848,0.708839
11.70,0.708842,0.708847,0.708838
11.75,0.708841,0.708846,0.708837
11.80,0.708840,0.708845,0.708836
11.85,0.708839,0.708844,0.708835
11.90,0.708839,0.708843,0.708834
11.95,0.708838,0.708842,0.708833
12.00,0.708837,0.708841,0.708832
12.05,0.708836,0.708840,0.708832
12.10,0.708835,0.708839,0.708831
12.15,0.708834,0.708838,0.708830
12.20,0.708834,0.708838,0.708829
12.25,0.708833,0.708837,0.708829
12.30,0.708832,0.708836,0.708828
12.35,0.708831,0.708835,0.708827
12.40,0.708830,0.708835,0.708826
12.45,0.708829,0.708834,0.708825
12.50,0.708829,0.708833,0.708824
12.55,0.708828,0.708832,0.708824
12.60,0.708827,0.708831,0.708823
12.65,0.708826,0.708830,0.708822
12.70,0.708825,0.708829,0.708821
12.75,0.708824,0.708828,0.708820
12.80,0.708823,0.708827,0.708819
12.85,0.708822,0.708826,0.708818
12.90,0.708821,0.708825,0.708817
12.95,0.708820,0.708824,0.708816
13.00,0.708819,0.708823,0.708815
13.05,0.708818,0.708822,0.708814
13.10,0.708817,0.708821,0.708813
13.15,0.708817,0.708821,0.708812
13.20,0.708816,0.708820,0.708812
13.25,0.708815,0.708819,0.708811
13.30,0.708814,0.708818,0.708810
13.35,0.708813,0.708817,0.708809
13.40,0.708813,0.708817,0.708809
13.45,0.708812,0.708816,0.708808
13.50,0.708811,0.708815,0.708807
13.55,0.708811,0.708815,0.708807
13.60,0.708810,0.708814,0.708806
13.65,0.708810,0.708814,0.708805
13.70,0.708809,0.708813,0.708805
13.75,0.708809,0.708813,0.708805
13.80,0.708809,0.708813,0.708805
13.85,0.708809,0.708813,0.708805
13.90,0.708808,0.708812,0.708804
13.95,0.708808,0.708812,0.708804
14.00,0.708808,0.708812,0.708803
14.05,0.708807,0.708811,0.708803
14.10,0.708806,0.708810,0.708802
14.15,0.708806,0.708810,0.708802
14.20,0.708805,0.708810,0.708801
14.25,0.708805,0.708809,0.708801
14.30,0.708805,0.708809,0.708801
14.35,0.708804,0.708808,0.708800
14.40,0.708804,0.708808,0.708800
14.45,0.708803,0.708807,0.708799
14.50,0.708802,0.708807,0.708798
14.55,0.708801,0.708806,0.708797
14.60,0.708800,0.708804,0.708796
14.65,0.708799,0.708803,0.708794
14.70,0.708797,0.708801,0.708793
14.75,0.708795,0.708800,0.708791
14.80,0.708794,0.708798,0.708790
14.85,0.708792,0.708796,0.708788
14.90,0.708790,0.708794,0.708786
14.95,0.708788,0.708792,0.708784
15.00,0.708786,0.708790,0.708782
15.05,0.708784,0.708788,0.708780
15.10,0.708782,0.708786,0.708778
15.15,0.708779,0.708784,0.708775
15.20,0.708777,0.708781,0.708773
15.25,0.708774,0.708778,0.708770
15.30,0.708771,0.708775,0.708767
15.35,0.708768,0.708772,0.708764
15.40,0.708765,0.708769,0.708761
15.45,0.708762,0.708765,0.708758
